Name,Price,Rating,Release,Follows,Online,Peak,Genre
One Finger Death Punch,$4.99,95.32%,Mar 2014,"14,254",8,"1,921",2D-Fighter
Iron Snout,Free,95.20%,Jan 2016,"15,862",12,"1,373",2D-Fighter
Bopl Battle,$9.99,94.97%,Nov 2023,"18,823",506,"2,250",2D-Fighter
Your Only Move Is HUSTLE,$4.99,94.47%,Feb 2023,"33,966",784,"3,405",2D-Fighter
Rivals of Aether,$29.99,93.97%,Mar 2017,"60,563",242,"2,922",2D-Fighter
Stick It to the Stickman,$4.99,93.80%,Aug 2025,"20,023",195,"2,800",2D-Fighter
Lethal League Blaze,$19.99,93.64%,Oct 2018,"22,324",41,"2,673",2D-Fighter
ROUNDS,$5.99,93.31%,Apr 2021,"21,618",841,"2,269",2D-Fighter
GUILTY GEAR XX ACCENT CORE PLUS R,$3.74,93.14%,May 2015,"11,426",90,"2,383",2D-Fighter
BlazBlue Entropy Effect,$19.99,93.00%,Feb 2024,"81,245",230,"11,918",2D-Fighter
One Finger Death Punch 2,$7.99,92.58%,Apr 2019,"6,451",2,"1,027",2D-Fighter
Anomaly Agent,$11.99,92.35%,Jan 2024,"18,271",14,"1,724",2D-Fighter
Stick Fight: The Game,$4.99,92.24%,Sep 2017,"150,863",379,"5,147",2D-Fighter
Kingdom Rush Vengeance - Tower Defense,$19.99,91.70%,Oct 2020,"29,378",99,"4,085",2D-Fighter
GUILTY GEAR Xrd REV 2,$9.89,91.64%,Dec 2016,"32,726",117,"3,455",2D-Fighter
THE KING OF FIGHTERS 2002 UNLIMITED MATCH,$2.24,91.38%,Feb 2015,"10,647",125,589,2D-Fighter
BlazBlue Centralfiction,$39.99,91.32%,Apr 2017,"38,228",229,"4,773",2D-Fighter
Lethal League,$13.99,91.04%,Aug 2014,"24,200",4,"1,929",2D-Fighter
TowerFall Ascension,$2.99,91.01%,Mar 2014,"17,383",20,355,2D-Fighter
Ultra Fight Da ! Kyanta 2,Free,90.84%,May 2019,"1,392",5,46,2D-Fighter
Idol Showdown,Free,90.65%,May 2023,"11,314",23,"10,901",2D-Fighter
Maiden and Spell,$12.99,90.65%,Feb 2020,"3,645",5,130,2D-Fighter
Slap City,$19.99,90.63%,Sep 2020,"6,751",2,781,2D-Fighter
GGST Additional Character 6 - BridgetDLC,$6.99,90.59%,Aug 2022,—,—,—,2D-Fighter
UNDER NIGHT IN-BIRTH Exe:Late[cl-r],$4.99,90.52%,Aug 2018,"15,185",10,"1,377",2D-Fighter
Brief Karate Foolish,Free,90.23%,Nov 2016,"5,310",0,314,2D-Fighter
Duelists of Eden,$4.99,90.12%,Mar 2024,"5,462",5,663,2D-Fighter
